,goods,services,housing
2010-04-01,-0.0003204397695652115,-0.006191655505712667,0.0017547059750591904
2010-07-01,0.0026910870623445323,0.0005583868260025387,0.0009381016145372548
2010-10-01,0.0014145895453991746,-0.0007718880673192722,0.0013799234187378566
2011-01-01,-0.00532726724026957,-0.002037483272198129,0.0005609321056435283
2011-04-01,-0.0027188706982516305,0.00226555661718158,0.0010124650416610433
2011-07-01,-0.00013258627252793692,0.0009395713544809966,-0.0015337785900771264
2011-10-01,-0.0007096807762861686,0.002791855500179139,-0.0003585345541337029
2012-01-01,-0.0011429298127406148,-0.0018810410813122217,-0.0008865872983529573
2012-04-01,0.0007392421603942457,-0.0008922204834309363,-0.0015613621789067789
2012-07-01,0.0007446992771506519,0.0002552483440868376,0.00020655439040781357
2012-10-01,-0.0005703430045737129,-0.0014395676355526566,-0.001191848895386652
2013-01-01,-0.00015231549308897274,-0.0014150036535181642,-0.0002780842089327507
2013-04-01,0.0031222586222886565,0.0029935872548391826,-0.0012278892616290557
2013-07-01,0.00059234735522168,-0.0006423066900599914,-0.0012068286290117013
2013-10-01,0.0007331010816839649,-0.0008098644699213715,-0.0006624158536089728
2014-01-01,0.0009327632592091774,0.00025340114844462193,-0.0010741581924866746
2014-04-01,0.00021726527717790277,0.0001795765604766567,-0.002694336689038121
2014-07-01,0.0008630316380811387,-0.0020715937229062904,-0.002321643712305892
2014-10-01,7.125208143041864e-05,0.0008045951111318742,-0.001126132096233662
2015-01-01,0.0032567806090287887,0.0013390058699994441,-0.0019060552098234063
2015-04-01,-5.391264856465872e-05,-0.0005732671851909009,-0.0027369860199257827
2015-07-01,0.0015434371721849253,0.0001748077439242806,-0.0019574953080694667
2015-10-01,0.010092982506267448,0.002059954722638167,-0.006536207282675071
2016-01-01,0.0006790918106759877,-0.00211642875728319,-0.002498069712380237
2016-04-01,-0.0022962982163296126,-0.0013792786514631103,-0.002585377436624603
2016-07-01,0.0022135595584545473,-0.0005419354547626847,-0.002285859266240014
2016-10-01,-0.00035773053941987867,-0.0008142111030023922,-0.003089122145331637
2017-01-01,-0.003372470729584403,-0.0009182623402216972,-0.0020504763946588293
2017-04-01,-0.00037479526169061366,-0.002499036881693012,-0.0007128020246136633
2017-07-01,-0.0008875713122803671,0.0018195972079862262,-0.0018765117896127998
2017-10-01,-0.003213341784338243,-0.0007268000128156683,-0.002634008898099751
2018-01-01,-0.0055011775265757625,-0.0006939846652785583,-0.0017646173972484505
2018-04-01,-0.0024364223435001937,0.0015895540928548004,-0.0015090479883142808
2018-07-01,0.0014124004367172763,0.00024864011679253165,-0.0014478866990672462
2018-10-01,-0.0016094015948170909,0.0003155327685926321,-0.002188534170476276
2019-01-01,-0.003310391627212171,0.001587149305152986,-0.0014133663439024466
2019-04-01,0.00031331390050278254,-0.0018966272636620268,-0.002866493325762551
