,goods,services,housing
2010-04-01,-0.0033715116041478925,-0.004007967383004596,0.00177874241430097
2010-07-01,0.0005607770895454853,0.001305252146588898,0.0014062045971932934
2010-10-01,0.0003653159185215051,0.0022295127475325154,0.001883448091446777
2011-01-01,-0.0031707894811306685,0.0003328060703775503,0.0019474304800937625
2011-04-01,-0.00010570605377140238,0.004831752686867007,0.002012500757222287
2011-07-01,0.0005083723372904918,0.002529045465674719,0.0006246398347517896
2011-10-01,0.0002865345896052629,0.0024868009278769285,0.0017754212812333184
2012-01-01,0.0006325729002799741,0.002000255427988107,0.0009656118951198922
2012-04-01,0.0002078269073925717,0.0012063122184754194,0.0007004745724429108
2012-07-01,0.0006803831986015212,0.001503816546809515,0.001923810493628843
2012-10-01,0.00035518932015327705,0.001699770291803687,0.0010342180019606785
2013-01-01,0.0009441612223655506,0.0010557904614625553,0.0014883962508110023
2013-04-01,0.0021989407358739676,0.003621189165567157,0.0007567808725073904
2013-07-01,0.0003782178411191672,0.001207047476788433,0.00025564033603650256
2013-10-01,0.00031473657599076965,0.0016457639126473006,0.001433689447509023
2014-01-01,0.0003212725381754153,0.0017305659327710554,0.0011185298640757641
2014-04-01,0.0004374782858265918,0.0023092773404277214,-0.0002835470165500104
2014-07-01,0.0010644105233385353,3.097796513215189e-05,0.00017201181014815268
2014-10-01,0.00021967821519500725,0.001468293680847744,0.0011639526040282185
2015-01-01,0.0006673961370945213,0.0010147539413438208,0.0007710587307578327
2015-04-01,0.001018413838533201,0.0013184494079903739,1.515903430767936e-05
2015-07-01,0.00014430810079514404,0.001600823393227467,0.0009214190522551027
2015-10-01,0.008293487401774826,0.002674120994521626,-0.00416895393348914
2016-01-01,-0.00032027746010982534,0.000520148494918909,0.0003271463955683029
2016-04-01,-9.821763572706718e-05,0.0010108753878659892,0.00034315589113051177
2016-07-01,0.0008049733276485637,0.001766922457959026,0.0005636749644375751
2016-10-01,-0.001409934017671733,0.0009033685995063775,7.3355265544008e-05
2017-01-01,-0.0006792951115212821,0.0017778611057385988,0.0005025939012330018
2017-04-01,-0.001522528814655284,0.0009160317860464899,0.0014678707533211668
2017-07-01,-0.0010235004944904751,0.0023393191749725654,0.0007488176291072571
2017-10-01,-0.0014374979638157297,0.0018281969085198809,0.00048509311838987237
2018-01-01,-0.0019742562111698253,0.0025198316417612754,0.0010501493018963107
2018-04-01,-0.0006493465494172188,0.0029657554650387545,0.0016650281113810223
2018-07-01,0.00031490589678033216,0.0020805604717588117,0.0015263431013590757
2018-10-01,-0.000472248451310814,0.0016849683932433676,0.0006271490891817753
2019-01-01,-0.0003129951380117192,0.002043295155031534,0.001216682921875412
2019-04-01,-5.759034667195275e-05,0.0009557563540127318,0.0006846631612371624
