,goods,services,housing
2024-04-01,-0.0006559262320547235,0.0009770678562655282,0.0025335176568240343
2024-05-01,-0.00024254481788571383,0.00242865297235358,0.0006524655230513226
2024-06-01,-7.148903870447245e-05,0.0018253542968796087,0.0014291882966315182
2024-07-01,-1.161022272898164e-05,0.0014638908904530605,0.0013697120161295477
2024-08-01,-0.00011150122097261316,0.0008989240690102723,0.0013166705026394707
2024-09-01,5.265014664627537e-05,0.0004763856385102323,0.001073053877264004
2024-10-01,0.00014906572406841873,8.284446305436405e-05,0.000991022306585718
2024-11-01,0.0002528583549283752,-0.0003367632560683817,0.0009054831889996047
2024-12-01,0.0003422484914341605,-0.000725569637224721,0.0008128224802260954
2025-01-01,0.0004363457500533588,-0.0011163591794638153,0.0007242207347927948
2025-02-01,0.0005289116226022421,-0.0014936983961777216,0.0006357166969198503
2025-03-01,0.000617740097398102,-0.0018671440940756048,0.0005515520891500845
2025-04-01,0.0007055820752463587,-0.002231671953954694,0.00046682063505053414
2025-05-01,0.0007913262742814729,-0.002588572432510012,0.0003845335604624919
2025-06-01,0.0008755867873727439,-0.00293784740459342,0.00030385295626906547
2025-07-01,0.0009578957419594835,-0.003279607517886248,0.00022504553253854998
2025-08-01,0.001038500170976194,-0.003614106679125373,0.0001478728660374752
2025-09-01,0.0011173792110899267,-0.00394133344346808,7.232929797586294e-05
2025-10-01,0.0011945705847285965,-0.004261475299651596,-1.5770165289774075e-06
2025-11-01,0.0012700992185388968,-0.004574602713902069,-7.389485723290128e-05
2025-12-01,0.0013439861386668858,-0.004880838882970435,-0.00014463382350674193
2026-01-01,0.0014162619139814069,-0.005180283299307395,-0.0002138260512572108
2026-02-01,0.001486947921154517,-0.005473043360477737,-0.00028149046445517876
2026-03-01,0.001556070183149598,-0.005759223092871378,-0.00034765287350771055
2026-04-01,0.0016236522053531886,-0.006038924387729381,-0.0004123361523570752
