,housing,demand,supply,financial,global
1999-01-01,0.0,0.0,0.0,0.0,0.0
1999-02-01,-0.10777772957849639,0.0028187187803481025,0.009297062887030659,-1.3339938918429808,0.20017264515240668
1999-03-01,0.19848570123377995,-0.13676673358428867,-0.2846513754455904,-0.022093156708091755,0.14889228616609543
1999-04-01,-0.34973735757752705,0.03551332508615514,-0.5694359851781567,-0.08630332523010434,-0.0017770934742591116
1999-05-01,0.156184422764111,-0.25352399319625374,0.5081013761090749,-0.8766134260236714,0.38041002296686194
1999-06-01,0.00939568098481014,0.1355516029264535,-1.0279716101304817,0.3877863169051118,-0.05652988753015381
1999-07-01,-0.22179600658039794,-0.01919171966003415,-0.874410156144078,-0.29358906383079436,0.25268905631501676
1999-08-01,0.1876231278229202,-0.17736148057558024,0.5043739456615592,-0.6063651233937978,0.40554039219360627
1999-09-01,-0.28590377129617317,0.29072739248946944,-0.28366701469153144,0.5839611577870805,-0.12006011884852774
1999-10-01,0.24928374866545022,-0.328596314650084,0.7527640385367974,-0.22620371436913217,0.6354154040765657
1999-11-01,0.009629969615273737,0.004749861877317962,0.0036984906882611135,0.2233230172524517,0.28094537851589
1999-12-01,0.13460214589266947,-0.2683916847935891,0.8873231222108398,0.6303413585102593,0.688619294256335
2000-01-01,-0.3207442410145559,1.3613444050061572,-2.253574988630406,0.9844588181535776,-0.3684125257140508
2000-02-01,0.13821708551242218,-0.356720066336644,0.7135726729882306,-0.5928489626911753,0.5887883920954753
2000-03-01,-0.3549751468909854,-0.00637131080449535,-0.5939096742099608,0.9759206336255452,0.18968812547973907
2000-04-01,0.0014090904841947138,-0.26056946915010903,0.2708911470532634,0.26241540363215177,0.3935474948193347
2000-05-01,-0.12177725283798135,-0.33233920930150196,0.247403947552995,0.6597140675758957,0.2283378697346922
2000-06-01,-0.3583125083424634,-0.05433998772006795,0.1459086418235635,0.5291367587875279,0.18220726382613062
2000-07-01,-0.20878353003362937,0.22663723522923798,0.009342471817836873,0.32224041136947834,-0.05047149804505632
2000-08-01,-0.5130749043224471,0.02171668181974054,-0.3708421727809403,0.24534068138887363,-0.1457444405349529
2000-09-01,-0.10281202212082907,-0.4062753275659986,0.8447924651036273,-0.3061772237748474,0.40961225764212184
2000-10-01,-0.2630290492428777,0.31591794841732374,-0.6635096193827177,-0.8324986177770074,-0.3872198702988927
2000-11-01,-0.4024676258792176,-0.4076578715691921,0.8911453708858827,-0.7314977062578085,0.38877455640950187
2000-12-01,-0.7911740719180913,-0.19632571806823082,1.0811688248608764,-0.04952764407493021,0.28034334852303344
2001-01-01,0.15946810288436308,0.9336770780084089,-0.26569544989555327,0.72133486817476,-0.24314876501038324
2001-02-01,-0.347512772037725,0.525519478359157,-0.5411964692820778,-0.4128202254411904,-0.20521947533411208
2001-03-01,-0.37859120417614467,0.3721933123987255,-0.7316505858652593,-0.4379512739371947,-0.2089069101360481
2001-04-01,-0.3917005684990069,-0.06396386938346707,0.41199865223595367,-0.25909590289444767,-0.030375756953887473
2001-05-01,-0.2048040815885742,0.0012278937574528165,-0.009271165690877492,0.4253423562474071,-0.30656911241100326
2001-06-01,-0.2480356159971791,-0.3275928698530276,0.3917807917410761,-0.5065927730412996,-0.1809355383294707
2001-07-01,-0.9783743678327703,-3.0203964570049946,0.08536301937845614,-0.04003340712087888,-1.0395050395013854
2001-08-01,-0.8408212703045677,-4.684106501934125,1.1923289446994787,0.09133841538683773,-0.7642702916976569
2001-09-01,-0.3762846768137895,2.2331058261774634,-0.7879286894587882,0.8693606534922417,0.514924929637443
2001-10-01,0.1668865695672771,3.8530997676264436,0.21434716320008712,-2.2383176394063424,0.8972264841659487
2001-11-01,-0.02585058915615779,0.15705549207055647,-0.3824253799464101,0.6410343119576203,-0.5385042670761722
2001-12-01,-0.0940811290983185,-0.13864811314958772,-0.07251406146424944,0.5954378929801752,-0.05509448816369317
2002-01-01,-0.542811855594431,-4.86737428099867,1.5874309286428974,-0.7857311595941389,-0.47567577970273156
2002-02-01,-0.35195745835129066,-0.5018735074480389,-0.8928013139235091,-0.5314327179850729,-0.052703859573913214
2002-03-01,-0.3484975850282278,-0.7746761116514289,0.5085914732287338,-0.5875872841280345,0.2741516522010572
2002-04-01,-0.47432544167634405,-0.5833428055134757,-0.671853800388564,-0.4273669206144748,-0.031178529287018808
2002-05-01,-0.13070238944722734,-0.5457267785258199,0.16570418711165502,-0.8890516462491369,0.12427905358726016
2002-06-01,-0.3000395719467354,-0.6706384846957443,0.5025641306401152,-0.25810493733871825,0.4998484150751815
2002-07-01,-0.43788688657327307,-0.21567916494884268,-0.3159256094525914,-0.13648806582655104,-0.13131632500237672
2002-08-01,-0.6325859314382493,-0.19681639341430532,-0.6135524279429897,0.9396868301129557,0.04926452818480309
2002-09-01,-0.3106033682188929,-0.3369136714215999,0.06464032109616136,0.609940215159042,0.14011840802388936
2002-10-01,-0.5506677670054149,-0.24300773255379698,0.10329579517477326,1.7997747337321304,-0.09170109796239825
2002-11-01,-0.3258476285376662,-0.33165341865931364,-0.10197069155142618,1.0911127553202777,0.12174568429659804
2002-12-01,-0.1727128174268445,0.10184618691083269,-0.3059102699703886,1.3098395977711266,-0.30064054032141047
2003-01-01,-0.5909704779001734,-1.1133671532613805,0.7842909330283653,-0.4962702933309673,0.3045041903601182
2003-02-01,-0.7222061774442685,-0.6140752423561073,0.9182981704457845,-0.16989981763252437,0.4333408979104106
2003-03-01,-0.20875593361004957,-0.08428690534156043,-0.06958007359904839,0.23296431960651554,-0.1255828460178069
2003-04-01,-0.4421813580133471,-0.11703716574320033,-0.44296605574852527,0.9136644818425333,-0.3456180472554261
2003-05-01,-0.6035488535844165,0.06119724191231818,-0.4478905282418892,1.0512842985555952,0.04298478297602415
2003-06-01,-0.536342713912492,0.1561724132508023,-0.2496117609856057,0.2904203547583182,0.10236720821701566
2003-07-01,-0.3591959325593489,-3.4397375695128667,0.812908892162768,1.2432030364871682,-0.5662735742629391
2003-08-01,0.07926929283413964,-1.8250162284101594,-0.16664323730936662,-0.41871287090178244,-0.24744828387769657
2003-09-01,0.14405348994674913,4.106252296969913,-1.111911659539371,-2.048856812862282,1.3943045861871692
2003-10-01,-0.8832274793954886,0.12467505959255476,-0.5557368261280775,-1.4534112731472484,-0.10057288270009979
2003-11-01,-0.23429310937778824,-0.3879959901217559,0.0017937569050876512,-0.5335421492679637,0.4490012373524468
2003-12-01,-0.7536647845984817,-0.39798625357615247,0.0825226734914713,0.5857045793878775,0.2012393431162186
2004-01-01,-0.8714608463385671,-0.633201098950375,0.02161242123307444,0.2758930572435254,0.03449173328333205
2004-02-01,-0.5071989366705938,-0.6418576132107069,0.3375284324982487,0.7674841826147125,0.45685059742854695
2004-03-01,-0.600846441989304,0.02472623912927352,-0.8595609135578409,1.5419509837113696,-0.11767629713803995
2004-04-01,-0.005601118391722948,-0.39010988427274174,0.5321450398422679,0.4090575009175694,0.39071268931011666
2004-05-01,-0.007160363806636816,-0.3592391436116249,0.27939576297428703,-0.595321545605387,0.7005858759273745
2004-06-01,-0.8156494374554477,0.31439230759361775,-0.8321382160668996,0.4019099838311463,-0.16119090121175494
2004-07-01,-0.5059354427674942,0.057276293798721484,-0.19597112454246246,-0.40442966411966697,0.4886326289376918
2004-08-01,-0.5333654240099734,0.11903360791189022,0.053244833335946345,-0.46141875599360055,0.27939717298610145
2004-09-01,-0.6164891187218644,0.01836507220709266,-0.09572347866405806,0.6296724480518614,0.26153055354394156
2004-10-01,-0.3759609668817793,-0.39131421279810374,0.07996944681667309,-0.31286693951849365,0.5524386760468984
2004-11-01,-0.7384496474113158,-0.19982192892739772,0.031496071844949625,-0.1909609487499879,0.3108188733127165
2004-12-01,0.10386978602053892,-0.22127805587087174,0.11825421856725826,0.6073156785396439,0.5025320875070096
2005-01-01,-0.6965977558626972,1.4969207006678613,-0.1741412511367827,1.3522737668115974,0.9005013411647921
2005-02-01,-0.13253264136961065,-0.11794104676882577,-0.20766750758931318,0.4065194444163769,0.2815522120528403
2005-03-01,-0.6737034536561988,-0.16008963675105484,-0.08546800202085136,0.8964465967967938,0.20423936686256786
2005-04-01,-0.41107748333234906,-0.104474489375361,-0.007445499134027547,-0.187737452353391,0.3094146829216948
2005-05-01,-0.5721713570225183,-0.26411378246950845,0.2917010467174351,0.05747414213950028,0.37081434282396863
2005-06-01,-0.7375519310180682,-0.3079894111894209,0.5986845568299193,-0.23676137191256402,0.49941148576349226
2005-07-01,-0.39069526461342724,0.09326025794645254,-0.006700488242328273,1.0408166391875842,0.16012766624113445
